Código do Ativo,Data e Hora do Registro,Equipamento,Fabricante,Modelo,Número de Série (S/N),Número de Patrimônio / TAG,Setor / Localização,Observações / Diagnósticos,Condição de Uso
SN-30791 E,,Bomba de Infusão,Samtronic,Infusion Systems (Linha Antiga),30791 E,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
501.492,,Ventilador de UTI,Tecme,Graphnet TS+,,501.492,sala de distribuição,Monitor/painel com identificação de alarmes.,Boa
0010022134,,Ventilador BIPAP/CPAP,BMC,G-3-B-30-VT,,,sala de distribuição,Cruzamento realizado via planilha do inventário.,Boa
498.600,,Aspirador de Baixo Volume,Indústria de Aparelhos Médicos Ltda (Aspiramax),MA-520 60,EJ44860,498.600,sala de distribuição,Tensão 127/220V~.,Boa
498.607,,Aspirador de Baixo Volume,Indústria de Aparelhos Médicos Ltda (Aspiramax),MA-520 60,EJ44857,498.607,sala de distribuição,Tensão 127/220V~.,Boa
498.609,,Aspirador de Baixo Volume,Indústria de Aparelhos Médicos Ltda (Aspiramax),MA-520 60,EJ44860,498.609,sala de distribuição,ATENÇÃO AUDITORIA: O número de série (EJ44860) presente na etiqueta de fábrica deste equipamento é idêntico ao do patrimônio 498.600. Pode se tratar de erro de etiquetagem do fabricante.,"Regular (Equipamento danificado, mas em uso)"
AUD-27,,Cama Elétrica,Lanco,CH-4001,,,sala de distribuição,Defeito registrado no ORBIS: Grade completa lateral direita. Responsável: Nyctor Hugo.,"Regular (Equipamento danificado, mas em uso)"
AUD-28,,Cama Elétrica,Lanco,CH-4001,,,sala de distribuição,Defeito registrado no ORBIS: Grade completa lateral direita. Responsável: Nyctor Hugo.,"Regular (Equipamento danificado, mas em uso)"
AUD-29,,Cama Elétrica,Linet,Eleganza-1,,,sala de distribuição,Defeito registrado no ORBIS: Trava lateral esquerda quebrada. Responsável: Nyctor Hugo.,"Regular (Equipamento danificado, mas em uso)"
501.276,,Cama / Leito,Não identificado,Não identificado,,501.276,sala de distribuição,"Possui selo adicional indicando ""PMSC/HU-UFSCar EBSERH 0028"".",Boa
501.558,,Cama / Leito,Não identificado,Não identificado,,501.558,sala de distribuição,"Possui selo adicional indicando ""PMSC/HU-UFSCar EBSERH 0030"".",Boa
0010022687,,Balança de Plataforma Eletrônica,Líder,P-300-C,,,sala de distribuição,Cruzamento realizado via planilha do inventário.,Boa
0010022688,,Balança de Plataforma Eletrônica,Líder,P-300-C,,,sala de distribuição,Cruzamento realizado via planilha do inventário.,Boa
501.152,,Balança Infantil Eletrônica,Ramuza,Baby,,501.152,sala de distribuição,Possui selo de verificação do Inmetro.,Boa
0010022742,,Eletrocardiógrafo,Alfamed,Ritmus-1200-A,,,sala de distribuição,Equipamento na cor verde. Cruzamento realizado via planilha do inventário.,Boa
AUD-36,,Eletrocardiógrafo,Comen,CM-1200-B,,,sala de distribuição,"Etiqueta indica equipamento de ""AMBULATÓRIO"".",Boa
501.218,,Máquina de Osmose Reversa,Vexer,VOP-00100,,501.218,sala de distribuição,Possui selo do serviço de manutenção (Grupo Souza Silva).,"Regular (Equipamento danificado, mas em uso)"
501.222,,Máquina de Osmose Reversa,Vexer,VOP-00100,,501.222,sala de distribuição,"Identificada no equipamento como ""OSMOSE III"".",Boa
499.607,,Oxímetro de Pulso,MD,VS-2000-E,,499.607,sala de distribuição,"Pela planilha, constatou-se que o código de barras tradicional e o RFID solto referem-se à mesma máquina.",Boa
498.758,,Maleta/Estojo,,,,498.758,sala de distribuição,,Boa
498.759,,Maleta/Estojo,,,,498.759,sala de distribuição,,Boa
498.760,,Maleta/Estojo,,,,498.760,sala de distribuição,,Boa
498.761,,Maleta/Estojo,,,,498.761,sala de distribuição,,Boa
498.762,,Maleta/Estojo,,,,498.762,sala de distribuição,,Boa
498.763,,Maleta/Estojo,,,,498.763,sala de distribuição,,Boa
498.764,,Maleta/Estojo,,,,498.764,sala de distribuição,,Boa
498.765,,Maleta/Estojo,,,,498.765,sala de distribuição,,Boa
498.766,,Maleta/Estojo,,,,498.766,sala de distribuição,,Boa
498.767,,Maleta/Estojo,,,,498.767,sala de distribuição,,Boa
498.800,,Maleta/Estojo,,,,498.800,sala de distribuição,,Boa
0010022453,,Desconhecido (aparenta estrutura branca com entrada de energia).,,,,,sala de distribuição,,Boa
0010022452,,Desconhecido (aparenta estrutura branca com entrada de energia).,,,,,sala de distribuição,,Boa
0010022454,,Desconhecido,,,,,sala de distribuição,,Boa
501.092,,Desconhecido,,,,501.092,sala de distribuição,"As duas etiquetas estão afixadas juntas no equipamento, revelando sua correlação, embora ausente da listagem ativa.",Boa
